Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Date S F,Week,Highlights
3,2010-02-26,407204.86,0,52.05,2.561,214.6475127,7.368,2010-02-26,2010-02-26,"- Total sales decreased by 633,330.0 dollars, which represents a decrease of 9.73%. The decline was driven mainly by a reduction of 124,131.0 dollars (6.06%) in store 4."
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010-02-26,2010-02-26,"- Total sales decreased by 633,330.0 dollars, which represents a decrease of 9.73%. The decline was driven mainly by a reduction of 124,131.0 dollars (6.06%) in store 4."
4,2010-02-26,1925728.84,0,41.36,2.59,126.5522857,8.623,2010-02-26,2010-02-26,"- Total sales decreased by 633,330.0 dollars, which represents a decrease of 9.73%. The decline was driven mainly by a reduction of 124,131.0 dollars (6.06%) in store 4."
4,2010-03-05,1971057.44,0,43.49,2.654,126.5782857,8.623,2010-03-05,2010-03-05,"- Total sales increased by 342,895.0 dollars (5.83%). The increase was driven mainly by an expansion of 145,079.0 dollars (10.29%) in store 1."
5,2010-03-05,288855.71,0,48.89,2.625,211.9071653,6.566,2010-03-05,2010-03-05,"- Total sales increased by 342,895.0 dollars (5.83%). The increase was driven mainly by an expansion of 145,079.0 dollars (10.29%) in store 1."
3,2010-03-05,415202.04,0,53.04,2.625,214.6751386,7.368,2010-03-05,2010-03-05,"- Total sales increased by 342,895.0 dollars (5.83%). The increase was driven mainly by an expansion of 145,079.0 dollars (10.29%) in store 1."
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010-03-05,2010-03-05,"- Total sales increased by 342,895.0 dollars (5.83%). The increase was driven mainly by an expansion of 145,079.0 dollars (10.29%) in store 1."
2,2010-03-05,1991013.13,0,47.17,2.625,211.0067542,8.324,2010-03-05,2010-03-05,"- Total sales increased by 342,895.0 dollars (5.83%). The increase was driven mainly by an expansion of 145,079.0 dollars (10.29%) in store 1."
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010-03-12,2010-03-12,"- Total sales decreased by 215,091.0 dollars, which represents a decrease of 3.46%. The decrease was driven mainly by a decline of 115,265.0 dollars (7.41%) in store 1."
2,2010-03-12,1990483.78,0,57.56,2.667,211.037551,8.324,2010-03-12,2010-03-12,"- Total sales decreased by 215,091.0 dollars, which represents a decrease of 3.46%. The decrease was driven mainly by a decline of 115,265.0 dollars (7.41%) in store 1."
3,2010-03-12,384200.69,0,63.08,2.667,214.7027646,7.368,2010-03-12,2010-03-12,"- Total sales decreased by 215,091.0 dollars, which represents a decrease of 3.46%. The decrease was driven mainly by a decline of 115,265.0 dollars (7.41%) in store 1."
5,2010-03-12,297293.59,0,58.5,2.667,211.9371839,6.566,2010-03-12,2010-03-12,"- Total sales decreased by 215,091.0 dollars, which represents a decrease of 3.46%. The decrease was driven mainly by a decline of 115,265.0 dollars (7.41%) in store 1."
4,2010-03-12,1894324.09,0,49.63,2.704,126.6042857,8.623,2010-03-12,2010-03-12,"- Total sales decreased by 215,091.0 dollars, which represents a decrease of 3.46%. The decrease was driven mainly by a decline of 115,265.0 dollars (7.41%) in store 1."
2,2010-03-19,1946070.88,0,54.52,2.72,210.8733316,8.324,2010-03-19,2010-03-19,"- Total sales decreased by 32793.0 dollars (-0.55%). The decrease was driven mainly by a decline of 44413.0 dollars (-2.23%) in store 2. However, store 1 saw an increase of 32974.0 dollars (2.29%), and store 4 experienced a slight increase of 3105.0 dollars (0.16%). Store 3 and store 5 also faced declines, with decreases of 8872.0 dollars (-2.31%) and 15587.0 dollars (-5.24%), respectively."
4,2010-03-19,1897429.36,0,55.19,2.743,126.6066452,8.623,2010-03-19,2010-03-19,"- Total sales decreased by 32793.0 dollars (-0.55%). The decrease was driven mainly by a decline of 44413.0 dollars (-2.23%) in store 2. However, store 1 saw an increase of 32974.0 dollars (2.29%), and store 4 experienced a slight increase of 3105.0 dollars (0.16%). Store 3 and store 5 also faced declines, with decreases of 8872.0 dollars (-2.31%) and 15587.0 dollars (-5.24%), respectively."
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010-03-19,2010-03-19,"- Total sales decreased by 32793.0 dollars (-0.55%). The decrease was driven mainly by a decline of 44413.0 dollars (-2.23%) in store 2. However, store 1 saw an increase of 32974.0 dollars (2.29%), and store 4 experienced a slight increase of 3105.0 dollars (0.16%). Store 3 and store 5 also faced declines, with decreases of 8872.0 dollars (-2.31%) and 15587.0 dollars (-5.24%), respectively."
3,2010-03-19,375328.59,0,60.42,2.72,214.5301219,7.368,2010-03-19,2010-03-19,"- Total sales decreased by 32793.0 dollars (-0.55%). The decrease was driven mainly by a decline of 44413.0 dollars (-2.23%) in store 2. However, store 1 saw an increase of 32974.0 dollars (2.29%), and store 4 experienced a slight increase of 3105.0 dollars (0.16%). Store 3 and store 5 also faced declines, with decreases of 8872.0 dollars (-2.31%) and 15587.0 dollars (-5.24%), respectively."
5,2010-03-19,281706.41,0,55.46,2.72,211.770897,6.566,2010-03-19,2010-03-19,"- Total sales decreased by 32793.0 dollars (-0.55%). The decrease was driven mainly by a decline of 44413.0 dollars (-2.23%) in store 2. However, store 1 saw an increase of 32974.0 dollars (2.29%), and store 4 experienced a slight increase of 3105.0 dollars (0.16%). Store 3 and store 5 also faced declines, with decreases of 8872.0 dollars (-2.31%) and 15587.0 dollars (-5.24%), respectively."
2,2010-03-26,1750197.81,0,51.26,2.732,210.6766095,8.324,2010-03-26,2010-03-26,"- Total sales decreased by $422,652.00 (-7.08%). The decrease was driven mainly by a decline of $134,890.00 (-7.11%) in store 4."
3,2010-03-26,359949.27,0,57.06,2.732,214.3241011,7.368,2010-03-26,2010-03-26,"- Total sales decreased by $422,652.00 (-7.08%). The decrease was driven mainly by a decline of $134,890.00 (-7.11%) in store 4."
4,2010-03-26,1762539.3,0,39.91,2.752,126.6050645,8.623,2010-03-26,2010-03-26,"- Total sales decreased by $422,652.00 (-7.08%). The decrease was driven mainly by a decline of $134,890.00 (-7.11%) in store 4."
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010-03-26,2010-03-26,"- Total sales decreased by $422,652.00 (-7.08%). The decrease was driven mainly by a decline of $134,890.00 (-7.11%) in store 4."
5,2010-03-26,273282.97,0,52.47,2.732,211.5718925,6.566,2010-03-26,2010-03-26,"- Total sales decreased by $422,652.00 (-7.08%). The decrease was driven mainly by a decline of $134,890.00 (-7.11%) in store 4."
3,2010-04-02,423294.4,0,65.56,2.719,214.1180803,7.343,2010-04-02,2010-04-02,"- Total sales increased by 844,704.0 dollars (15.22%). The increase was driven mainly by an expansion of 315,990.0 dollars (18.05%) in store 2."
4,2010-04-02,1979247.12,0,48.77,2.74,126.6034839,7.896,2010-04-02,2010-04-02,"- Total sales increased by 844,704.0 dollars (15.22%). The increase was driven mainly by an expansion of 315,990.0 dollars (18.05%) in store 2."
5,2010-04-02,331406.0,0,63.18,2.719,211.372888,6.465,2010-04-02,2010-04-02,"- Total sales increased by 844,704.0 dollars (15.22%). The increase was driven mainly by an expansion of 315,990.0 dollars (18.05%) in store 2."
2,2010-04-02,2066187.72,0,63.27,2.719,210.4798874,8.2,2010-04-02,2010-04-02,"- Total sales increased by 844,704.0 dollars (15.22%). The increase was driven mainly by an expansion of 315,990.0 dollars (18.05%) in store 2."
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010-04-02,2010-04-02,"- Total sales increased by 844,704.0 dollars (15.22%). The increase was driven mainly by an expansion of 315,990.0 dollars (18.05%) in store 2."
5,2010-04-09,328020.49,0,65.19,2.77,211.1738835,6.465,2010-04-09,2010-04-09,"- Total sales decreased by $332,652.00, which represents a decrease of 5.2%. The decline was driven mainly by a reduction of $111,499.00 (5.4%) in store 2."
2,2010-04-09,1954689.21,0,65.41,2.77,210.2831653,8.2,2010-04-09,2010-04-09,"- Total sales decreased by $332,652.00, which represents a decrease of 5.2%. The decline was driven mainly by a reduction of $111,499.00 (5.4%) in store 2."
3,2010-04-09,415870.28,0,68.0,2.77,213.9120595,7.343,2010-04-09,2010-04-09,"- Total sales decreased by $332,652.00, which represents a decrease of 5.2%. The decline was driven mainly by a reduction of $111,499.00 (5.4%) in store 2."
4,2010-04-09,1818452.72,0,54.16,2.773,126.6019032,7.896,2010-04-09,2010-04-09,"- Total sales decreased by $332,652.00, which represents a decrease of 5.2%. The decline was driven mainly by a reduction of $111,499.00 (5.4%) in store 2."
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010-04-09,2010-04-09,"- Total sales decreased by $332,652.00, which represents a decrease of 5.2%. The decline was driven mainly by a reduction of $111,499.00 (5.4%) in store 2."
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010-04-16,2010-04-16,"- Total sales decreased by 208,063.0 dollars (-3.43%). The decrease was driven mainly by a decline of 79,360.0 dollars (-5.14%) in store 1."
5,2010-04-16,306858.69,0,65.3,2.808,211.0388528,6.465,2010-04-16,2010-04-16,"- Total sales decreased by 208,063.0 dollars (-3.43%). The decrease was driven mainly by a decline of 79,360.0 dollars (-5.14%) in store 1."
2,2010-04-16,1874957.94,0,68.07,2.808,210.1495463,8.2,2010-04-16,2010-04-16,"- Total sales decreased by 208,063.0 dollars (-3.43%). The decrease was driven mainly by a decline of 79,360.0 dollars (-5.14%) in store 1."
3,2010-04-16,354993.26,0,66.98,2.808,213.7726889,7.343,2010-04-16,2010-04-16,"- Total sales decreased by 208,063.0 dollars (-3.43%). The decrease was driven mainly by a decline of 79,360.0 dollars (-5.14%) in store 1."
4,2010-04-16,1851519.69,0,56.23,2.81,126.5621,7.896,2010-04-16,2010-04-16,"- Total sales decreased by 208,063.0 dollars (-3.43%). The decrease was driven mainly by a decline of 79,360.0 dollars (-5.14%) in store 1."
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010-04-23,2010-04-23,"- Total sales decreased by $209,647.00, which represents a decrease of 3.58%. The decline was driven mainly by a reduction of $74,802.00 (5.1%) in store 1."
3,2010-04-23,339976.65,0,67.87,2.795,213.7221852,7.343,2010-04-23,2010-04-23,"- Total sales decreased by $209,647.00, which represents a decrease of 3.58%. The decline was driven mainly by a reduction of $74,802.00 (5.1%) in store 1."
2,2010-04-23,1821990.93,0,65.11,2.795,210.1000648,8.2,2010-04-23,2010-04-23,"- Total sales decreased by $209,647.00, which represents a decrease of 3.58%. The decline was driven mainly by a reduction of $74,802.00 (5.1%) in store 1."
4,2010-04-23,1802677.9,0,56.87,2.805,126.4713333,7.896,2010-04-23,2010-04-23,"- Total sales decreased by $209,647.00, which represents a decrease of 3.58%. The decline was driven mainly by a reduction of $74,802.00 (5.1%) in store 1."
5,2010-04-23,288839.73,0,65.13,2.795,210.9891204,6.465,2010-04-23,2010-04-23,"- Total sales decreased by $209,647.00, which represents a decrease of 3.58%. The decline was driven mainly by a reduction of $74,802.00 (5.1%) in store 1."
3,2010-04-30,361248.39,0,70.24,2.78,213.6716815,7.343,2010-04-30,2010-04-30,- Total sales increased by 60029.0 dollars (1.06%). The increase was driven mainly by an expansion of 33845.0 dollars (2.43%) in store 1.
4,2010-04-30,1817273.28,0,53.04,2.787,126.3805667,7.896,2010-04-30,2010-04-30,- Total sales increased by 60029.0 dollars (1.06%). The increase was driven mainly by an expansion of 33845.0 dollars (2.43%) in store 1.
5,2010-04-30,298697.84,0,67.53,2.78,210.939388,6.465,2010-04-30,2010-04-30,- Total sales increased by 60029.0 dollars (1.06%). The increase was driven mainly by an expansion of 33845.0 dollars (2.43%) in store 1.
2,2010-04-30,1802450.29,0,66.98,2.78,210.0505833,8.2,2010-04-30,2010-04-30,- Total sales increased by 60029.0 dollars (1.06%). The increase was driven mainly by an expansion of 33845.0 dollars (2.43%) in store 1.
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010-04-30,2010-04-30,- Total sales increased by 60029.0 dollars (1.06%). The increase was driven mainly by an expansion of 33845.0 dollars (2.43%) in store 1.
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010-05-07,2010-05-07,"- Total sales increased by 675,239.0 dollars (11.84%). The increase was driven mainly by an expansion of 240,131.0 dollars (13.32%) in store 2."
4,2010-05-07,2000626.14,0,56.77,2.836,126.2898,7.896,2010-05-07,2010-05-07,"- Total sales increased by 675,239.0 dollars (11.84%). The increase was driven mainly by an expansion of 240,131.0 dollars (13.32%) in store 2."
5,2010-05-07,333522.6,0,71.53,2.835,210.8896556,6.465,2010-05-07,2010-05-07,"- Total sales increased by 675,239.0 dollars (11.84%). The increase was driven mainly by an expansion of 240,131.0 dollars (13.32%) in store 2."
2,2010-05-07,2042581.71,0,71.28,2.835,210.0011018,8.2,2010-05-07,2010-05-07,"- Total sales increased by 675,239.0 dollars (11.84%). The increase was driven mainly by an expansion of 240,131.0 dollars (13.32%) in store 2."
3,2010-05-07,399323.86,0,73.47,2.835,213.6211778,7.343,2010-05-07,2010-05-07,"- Total sales increased by 675,239.0 dollars (11.84%). The increase was driven mainly by an expansion of 240,131.0 dollars (13.32%) in store 2."
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010-05-14,2010-05-14,"Total sales decreased by $448,377.00, which represents a decrease of 7.03%. The decline was primarily driven by a reduction of $161,829.00 (7.92%) in store 2."
4,2010-05-14,1875597.28,0,62.35,2.845,126.2085484,7.896,2010-05-14,2010-05-14,"Total sales decreased by $448,377.00, which represents a decrease of 7.03%. The decline was primarily driven by a reduction of $161,829.00 (7.92%) in store 2."
2,2010-05-14,1880752.36,0,73.31,2.854,209.9984585,8.2,2010-05-14,2010-05-14,"Total sales decreased by $448,377.00, which represents a decrease of 7.03%. The decline was primarily driven by a reduction of $161,829.00 (7.92%) in store 2."
3,2010-05-14,384357.94,0,77.18,2.854,213.6196139,7.343,2010-05-14,2010-05-14,"Total sales decreased by $448,377.00, which represents a decrease of 7.03%. The decline was primarily driven by a reduction of $161,829.00 (7.92%) in store 2."
5,2010-05-14,296673.77,0,74.79,2.854,210.8872772,6.465,2010-05-14,2010-05-14,"Total sales decreased by $448,377.00, which represents a decrease of 7.03%. The decline was primarily driven by a reduction of $161,829.00 (7.92%) in store 2."
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010-05-21,2010-05-21,"- Total sales decreased by $85,902.00 (-1.45%). The decrease was driven mainly by a decline of $94,589.00 (-6.33%) in store 1."
2,2010-05-21,1896937.1,0,74.83,2.826,210.2768443,8.2,2010-05-21,2010-05-21,"- Total sales decreased by $85,902.00 (-1.45%). The decrease was driven mainly by a decline of $94,589.00 (-6.33%) in store 1."
3,2010-05-21,343763.17,0,75.81,2.826,213.9116886,7.343,2010-05-21,2010-05-21,"- Total sales decreased by $85,902.00 (-1.45%). The decrease was driven mainly by a decline of $94,589.00 (-6.33%) in store 1."
5,2010-05-21,301615.49,0,75.2,2.826,211.169023,6.465,2010-05-21,2010-05-21,"- Total sales decreased by $85,902.00 (-1.45%). The decrease was driven mainly by a decline of $94,589.00 (-6.33%) in store 1."
4,2010-05-21,1903752.6,0,67.4,2.82,126.1843871,7.896,2010-05-21,2010-05-21,"- Total sales decreased by $85,902.00 (-1.45%). The decrease was driven mainly by a decline of $94,589.00 (-6.33%) in store 1."
2,2010-05-28,1957113.89,0,81.13,2.759,210.5552301,8.2,2010-05-28,2010-05-28,"- Total sales increased by $61,089.00 (1.05%). The increase was driven mainly by an expansion of $60,177.00 (3.17%) in store 2. However, sales in store 4 decreased by $46,219.00 (-2.43%). Sales in store 1 increased by $32,408.00 (2.32%), while store 3 saw an increase of $6,326.00 (1.84%). Additionally, store 5 experienced an increase of $8,398.00 (2.78%)."
3,2010-05-28,350089.23,0,78.6,2.759,214.2037634,7.343,2010-05-28,2010-05-28,"- Total sales increased by $61,089.00 (1.05%). The increase was driven mainly by an expansion of $60,177.00 (3.17%) in store 2. However, sales in store 4 decreased by $46,219.00 (-2.43%). Sales in store 1 increased by $32,408.00 (2.32%), while store 3 saw an increase of $6,326.00 (1.84%). Additionally, store 5 experienced an increase of $8,398.00 (2.78%)."
4,2010-05-28,1857533.7,0,67.73,2.756,126.1602258,7.896,2010-05-28,2010-05-28,"- Total sales increased by $61,089.00 (1.05%). The increase was driven mainly by an expansion of $60,177.00 (3.17%) in store 2. However, sales in store 4 decreased by $46,219.00 (-2.43%). Sales in store 1 increased by $32,408.00 (2.32%), while store 3 saw an increase of $6,326.00 (1.84%). Additionally, store 5 experienced an increase of $8,398.00 (2.78%)."
5,2010-05-28,310013.11,0,79.81,2.759,211.4507688,6.465,2010-05-28,2010-05-28,"- Total sales increased by $61,089.00 (1.05%). The increase was driven mainly by an expansion of $60,177.00 (3.17%) in store 2. However, sales in store 4 decreased by $46,219.00 (-2.43%). Sales in store 1 increased by $32,408.00 (2.32%), while store 3 saw an increase of $6,326.00 (1.84%). Additionally, store 5 experienced an increase of $8,398.00 (2.78%)."
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010-05-28,2010-05-28,"- Total sales increased by $61,089.00 (1.05%). The increase was driven mainly by an expansion of $60,177.00 (3.17%) in store 2. However, sales in store 4 decreased by $46,219.00 (-2.43%). Sales in store 1 increased by $32,408.00 (2.32%), while store 3 saw an increase of $6,326.00 (1.84%). Additionally, store 5 experienced an increase of $8,398.00 (2.78%)."
2,2010-06-04,2102539.93,0,81.81,2.705,210.833616,8.2,2010-06-04,2010-06-04,- Total sales increased by 449330.0 dollars (7.61%). The increase was driven mainly by an expansion of 183455.0 dollars (12.81%) in store 1.
5,2010-06-04,337825.89,0,79.54,2.705,211.7325146,6.465,2010-06-04,2010-06-04,- Total sales increased by 449330.0 dollars (7.61%). The increase was driven mainly by an expansion of 183455.0 dollars (12.81%) in store 1.
4,2010-06-04,1903290.58,0,70.83,2.701,126.1360645,7.896,2010-06-04,2010-06-04,- Total sales increased by 449330.0 dollars (7.61%). The increase was driven mainly by an expansion of 183455.0 dollars (12.81%) in store 1.
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010-06-04,2010-06-04,- Total sales increased by 449330.0 dollars (7.61%). The increase was driven mainly by an expansion of 183455.0 dollars (12.81%) in store 1.
3,2010-06-04,396968.8,0,78.53,2.705,214.4958382,7.343,2010-06-04,2010-06-04,- Total sales increased by 449330.0 dollars (7.61%). The increase was driven mainly by an expansion of 183455.0 dollars (12.81%) in store 1.
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010-06-11,2010-06-11,"- Total sales decreased by $265,772.00, which represents a decrease of 4.18%. The decline was driven mainly by a reduction of $77,001.00 (3.66%) in store 2."
4,2010-06-11,1870619.23,0,78.45,2.668,126.1119032,7.896,2010-06-11,2010-06-11,"- Total sales decreased by $265,772.00, which represents a decrease of 4.18%. The decline was driven mainly by a reduction of $77,001.00 (3.66%) in store 2."
2,2010-06-11,2025538.76,0,83.4,2.668,211.1120018,8.2,2010-06-11,2010-06-11,"- Total sales decreased by $265,772.00, which represents a decrease of 4.18%. The decline was driven mainly by a reduction of $77,001.00 (3.66%) in store 2."
3,2010-06-11,355017.09,0,82.1,2.668,214.787913,7.343,2010-06-11,2010-06-11,"- Total sales decreased by $265,772.00, which represents a decrease of 4.18%. The decline was driven mainly by a reduction of $77,001.00 (3.66%) in store 2."
5,2010-06-11,296641.91,0,80.7,2.668,212.0142605,6.465,2010-06-11,2010-06-11,"- Total sales decreased by $265,772.00, which represents a decrease of 4.18%. The decline was driven mainly by a reduction of $77,001.00 (3.66%) in store 2."
2,2010-06-18,2001636.96,0,85.81,2.637,211.1096543,8.2,2010-06-18,2010-06-18,- Total sales increased by 22152.0 dollars (0.36%). The increase was driven mainly by an expansion of 17154.0 dollars (5.78%) in store 5.
3,2010-06-18,364076.85,0,83.52,2.637,214.7858259,7.343,2010-06-18,2010-06-18,- Total sales increased by 22152.0 dollars (0.36%). The increase was driven mainly by an expansion of 17154.0 dollars (5.78%) in store 5.
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010-06-18,2010-06-18,- Total sales increased by 22152.0 dollars (0.36%). The increase was driven mainly by an expansion of 17154.0 dollars (5.78%) in store 5.
5,2010-06-18,313795.6,0,83.91,2.637,212.0119769,6.465,2010-06-18,2010-06-18,- Total sales increased by 22152.0 dollars (0.36%). The increase was driven mainly by an expansion of 17154.0 dollars (5.78%) in store 5.
4,2010-06-18,1929736.35,0,81.53,2.635,126.114,7.896,2010-06-18,2010-06-18,- Total sales increased by 22152.0 dollars (0.36%). The increase was driven mainly by an expansion of 17154.0 dollars (5.78%) in store 5.
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010-06-25,2010-06-25,"- Total sales decreased by $250,635.00 (-4.1%). The decrease was driven mainly by a decline of $80,572.00 (-5.36%) in store 1."
3,2010-06-25,357346.48,0,83.79,2.653,214.6660741,7.343,2010-06-25,2010-06-25,"- Total sales decreased by $250,635.00 (-4.1%). The decrease was driven mainly by a decline of $80,572.00 (-5.36%) in store 1."
5,2010-06-25,295257.3,0,83.72,2.653,211.8960815,6.465,2010-06-25,2010-06-25,"- Total sales decreased by $250,635.00 (-4.1%). The decrease was driven mainly by a decline of $80,572.00 (-5.36%) in store 1."
4,2010-06-25,1846651.95,0,81.1,2.654,126.1266,7.896,2010-06-25,2010-06-25,"- Total sales decreased by $250,635.00 (-4.1%). The decrease was driven mainly by a decline of $80,572.00 (-5.36%) in store 1."
2,2010-06-25,1939927.09,0,86.26,2.653,210.9950134,8.2,2010-06-25,2010-06-25,"- Total sales decreased by $250,635.00 (-4.1%). The decrease was driven mainly by a decline of $80,572.00 (-5.36%) in store 1."
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010-07-02,2010-07-02,"- Total sales increased by 202,947.0 dollars (3.46%). The increase was driven mainly by an expansion of 69,707.0 dollars (4.9%) in store 1."
5,2010-07-02,305993.27,0,81.25,2.669,211.7801861,6.496,2010-07-02,2010-07-02,"- Total sales increased by 202,947.0 dollars (3.46%). The increase was driven mainly by an expansion of 69,707.0 dollars (4.9%) in store 1."
4,2010-07-02,1881337.21,0,73.66,2.668,126.1392,7.372,2010-07-02,2010-07-02,"- Total sales increased by 202,947.0 dollars (3.46%). The increase was driven mainly by an expansion of 69,707.0 dollars (4.9%) in store 1."
3,2010-07-02,381151.72,0,82.2,2.669,214.5463222,7.346,2010-07-02,2010-07-02,"- Total sales increased by 202,947.0 dollars (3.46%). The increase was driven mainly by an expansion of 69,707.0 dollars (4.9%) in store 1."
2,2010-07-02,2003940.64,0,82.74,2.669,210.8803726,8.099,2010-07-02,2010-07-02,"- Total sales increased by 202,947.0 dollars (3.46%). The increase was driven mainly by an expansion of 69,707.0 dollars (4.9%) in store 1."
3,2010-07-09,349214.18,0,81.75,2.642,214.4265704,7.346,2010-07-09,2010-07-09,"- Total sales decreased by $184,633.00, which represents a decrease of 3.04%. The decrease was driven mainly by a decline of $123,038.00 (6.14%) in store 2."
5,2010-07-09,291808.87,0,81.14,2.642,211.6642907,6.496,2010-07-09,2010-07-09,"- Total sales decreased by $184,633.00, which represents a decrease of 3.04%. The decrease was driven mainly by a decline of $123,038.00 (6.14%) in store 2."
4,2010-07-09,1812208.22,0,80.35,2.637,126.1518,7.372,2010-07-09,2010-07-09,"- Total sales decreased by $184,633.00, which represents a decrease of 3.04%. The decrease was driven mainly by a decline of $123,038.00 (6.14%) in store 2."
2,2010-07-09,1880902.62,0,82.59,2.642,210.7657317,8.099,2010-07-09,2010-07-09,"- Total sales decreased by $184,633.00, which represents a decrease of 3.04%. The decrease was driven mainly by a decline of $123,038.00 (6.14%) in store 2."
